STORAGE[GWh],JUDGE ENERGY STORAGE PER[%],YEARLY POWER GENERATION[GWh],2017[GWh],2018[GWh],2019[GWh],2020[GWh],2021[GWh],2022[GWh]
80.0,35,838.3606718060299,111.80194690291096,182.94896453502636,182.9416515416195,88.59432091901533,142.40716541006515,129.66662249739244
80.0,40,916.9833639607389,121.34008970236742,194.4392997753969,206.8668006361225,97.73380943983331,145.41617660050403,151.1871878065147
80.0,45,957.9027264891814,124.01592182171052,214.90532362265796,198.38260787278108,113.32689457645253,165.57461218263035,141.69736641294895
80.0,50,984.3825072180438,137.63344690555797,226.52912701967446,207.06647853304085,97.39455042076239,173.48771593221386,142.27118840679415
80.0,55,979.4439485596862,119.66367229657568,217.94078053907825,201.93264690436868,107.2114362218857,182.48360687971362,150.21180571806406
80.0,60,1033.6085343879408,131.152950493583,237.36159195702206,213.85372315783573,112.43230320704163,185.29838612382136,153.5095794486372
80.0,65,1036.7790040011669,141.75860473775634,222.2989422324727,221.37947259058467,127.4246327869799,177.4321562722052,146.48519538116813
80.0,70,1068.8364224956656,139.05990363252133,241.83069556770084,224.12468791927088,133.39051271378852,177.5065217778216,152.92410088456236
80.0,75,1079.45512779504,147.2880369946646,244.98605001710516,221.7324383319628,112.03360914974279,196.39047438057673,157.024518920988
80.0,80,1097.2738116915318,135.9561917547233,261.2927359336311,238.7641251065885,113.14541273270592,180.28856061649228,167.8267855473907
80.0,85,1087.0415432477885,135.4035393814666,241.115577641405,241.29139200123953,121.0695853571708,181.74968841921847,166.4117604472882
80.0,90,1114.7182877229864,138.86468661572113,254.2133439557574,243.30138955213644,119.55657814884658,184.84301595439817,173.9392734961264
80.0,95,1096.1357685017442,147.21922858512139,240.63584185007548,217.4629932576509,133.06525922185142,188.05973560363975,169.69270998340522
80.0,100,1126.969198598124,152.71647398408197,252.42635168957975,229.2402105785374,137.02488351672977,197.57245654600143,157.9888222831939
90.0,20,610.2320771166624,91.72666184113352,130.0994973718197,121.32327029909328,62.63328485095023,112.12173453650351,92.3276282171621
90.0,25,756.4030014043927,107.96991812426931,153.57430370101324,164.07972647927102,82.99259619748443,136.89310564651367,110.89335125584094
90.0,30,827.8209607228657,120.94811686215347,184.49687382852156,178.148141343558,91.7139515709791,128.44042920789354,124.07344790976019
90.0,35,873.1156364228237,102.77068513869797,205.07410999350995,194.78816102613192,91.03629215362795,136.84593832339183,142.60044978746407
90.0,40,939.9656466317532,133.27226641092497,203.24762407193762,191.37064799047639,109.23460117038235,160.17150883685548,142.66899815117657
90.0,45,997.9922999248719,137.1581988880824,235.04569079315328,218.29768569105784,95.13569311349677,171.52084870864246,140.83418273043907
90.0,50,978.0395824363663,119.44354181348477,217.89170693020827,201.46700464990607,106.33638661737719,182.1072084667076,150.79373395868242
90.0,55,1025.6146338099393,132.5524810246342,216.99520388697965,216.39451377015192,118.60819011808698,186.59823059389234,154.46601441619404
